✔ cards preserve outer tracks, regions and headings while measuring a rounded inner box (10.183584ms)
✔ slide false overrides host cards; nested leaves receive one inset and preserve group geometry (0.818958ms)
✔ card padding participates in automatic score, strict overflow and whole-document pagination (191.064125ms)
✔ accepted code uses rounded cells and preserves body compatibility without repeated explanation measurements (2.904208ms)
✔ candidate penalties include complete code metadata and charge overflowing leaves once (14.333416ms)
✔ strict ancestors reject code metadata paths and cannot be weakened by descendants (187.264916ms)
✔ explicit code placement and weights remain authoritative even when metadata overflows (10.798666ms)
✔ pagination preserves exact code bytes, metadata, ranges and floors across wide and portrait slides (239.678459ms)
✔ irreducible code metadata rejects pagination even after earlier content or with an empty body (155.819833ms)
✔ complete code parts preserve exact filename, language, body, whitespace and hard line boundaries (3.76825ms)
✔ shorthand, empty source and absent metadata retain their source and generated-label distinction (0.26875ms)
✔ long language labels and filenames are measured within their cell before allocating the body (3.702542ms)
✔ wrapped whitespace and graphemes retain contiguous source offsets, including CRLF and blank final lines (0.4755ms)
✔ tabs use measured space stops and never send control tabs to the font-width provider (0.347875ms)
✔ readability floors scale once and body shrinking preserves all code content (0.237125ms)
✔ irreducible body and metadata failures remain explicit; strict mode does not return partial output (11.388958ms)
✔ invalid inner boxes never become invented one-pixel fits; malformed options reject (0.212375ms)
✔ font trials stay bounded independently of canvas scale (11.092042ms)
✔ opaque contrast follows unrounded sRGB luminance thresholds (0.510084ms)
✔ chart marks retain passing colors and brighten/darken failing opaque palettes (9.422875ms)
  ✔ example 'kiosk-orientation-deck' has the expected shape and validates without warnings (0.158291ms)
  ✔ example 'photo-essay-portfolio' has the expected shape and validates without warnings (0.1405ms)
  ✔ example 'video-demo-sales-narrative' has the expected shape and validates without warnings (0.151ms)
  ✔ example 'visual-brand-system-sampler' has the expected shape and validates without warnings (0.089125ms)
  ✔ example 'advising-retention-review' has the expected shape and validates without warnings (0.086ms)
  ✔ example 'alumni-giving-campaign' has the expected shape and validates without warnings (0.074334ms)
  ✔ example 'apprenticeship-partnership-deck' has the expected shape and validates without warnings (0.078625ms)
  ✔ example 'athletics-budget-review' has the expected shape and validates without warnings (0.151791ms)
  ✔ example 'campus-energy-action-brief' has the expected shape and validates without warnings (0.082167ms)
  ✔ example 'curriculum-approval-brief' has the expected shape and validates without warnings (0.127792ms)
  ✔ example 'district-literacy-acceleration-plan' has the expected shape and validates without warnings (0.048084ms)
  ✔ example 'library-modernization-roadmap' has the expected shape and validates without warnings (0.120166ms)
  ✔ example 'online-program-launch-plan' has the expected shape and validates without warnings (0.087833ms)
  ✔ example 'research-grant-pitch' has the expected shape and validates without warnings (0.080625ms)
  ✔ example 'school-safety-preparedness-brief' has the expected shape and validates without warnings (0.0595ms)
  ✔ example 'special-education-services-plan' has the expected shape and validates without warnings (0.051042ms)
  ✔ example 'stem-lab-funding-proposal' has the expected shape and validates without warnings (0.040541ms)
  ✔ example 'student-mental-health-capacity-review' has the expected shape and validates without warnings (0.099709ms)
  ✔ example 'workforce-pathway-partnership' has the expected shape and validates without warnings (0.144916ms)
  ✔ example 'broadband-public-hearing-deck' has the expected shape and validates without warnings (0.145667ms)
  ✔ example 'court-backlog-reduction-plan' has the expected shape and validates without warnings (0.076042ms)
  ✔ example 'digital-services-modernization' has the expected shape and validates without warnings (0.053625ms)
  ✔ example 'grant-equity-review' has the expected shape and validates without warnings (0.043709ms)
  ✔ example 'housing-zoning-council-brief' has the expected shape and validates without warnings (0.132834ms)
  ✔ example 'parks-master-plan-workshop' has the expected shape and validates without warnings (0.081917ms)
  ✔ example 'police-training-program-update' has the expected shape and validates without warnings (0.069625ms)
  ✔ example 'recycling-participation-campaign' has the expected shape and validates without warnings (0.141ms)
  ✔ example 'regulatory-risk-brief' has the expected shape and validates without warnings (0.081667ms)
  ✔ example 'tax-portal-modernization' has the expected shape and validates without warnings (0.137708ms)
  ✔ example 'transit-corridor-alternatives' has the expected shape and validates without warnings (0.129209ms)
  ✔ example 'vaccination-outreach-briefing' has the expected shape and validates without warnings (0.078125ms)
  ✔ example 'water-utility-capital-plan' has the expected shape and validates without warnings (3.634708ms)
  ✔ example 'wildfire-evacuation-preparedness' has the expected shape and validates without warnings (0.2555ms)
  ✔ example 'workforce-reskilling-initiative' has the expected shape and validates without warnings (0.184792ms)
  ✔ example 'airline-disruption-recovery-review' has the expected shape and validates without warnings (0.152708ms)
  ✔ example 'ambulatory-access-recovery-plan' has the expected shape and validates without warnings (0.054333ms)
  ✔ example 'battery-line-supplier-readiness' has the expected shape and validates without warnings (0.138084ms)
  ✔ example 'boutique-hotel-revenue-recovery' has the expected shape and validates without warnings (0.124625ms)
  ✔ example 'branch-modernization-investment-case' has the expected shape and validates without warnings (0.044584ms)
  ✔ example 'claims-triage-operating-model' has the expected shape and validates without warnings (0.041917ms)
  ✔ example 'cold-chain-waste-reduction-review' has the expected shape and validates without warnings (0.074334ms)
  ✔ example 'construction-safety-stand-down' has the expected shape and validates without warnings (0.1265ms)
  ✔ example 'consulting-margin-recovery-plan' has the expected shape and validates without warnings (0.111458ms)
  ✔ example 'drive-thru-throughput-playbook' has the expected shape and validates without warnings (0.077375ms)
  ✔ example 'fan-experience-operations-brief' has the expected shape and validates without warnings (0.069542ms)
  ✔ example 'food-bank-distribution-capacity-plan' has the expected shape and validates without warnings (0.0405ms)
  ✔ example 'grid-resilience-capital-plan' has the expected shape and validates without warnings (0.065959ms)
  ✔ example 'managed-detection-market-update' has the expected shape and validates without warnings (0.044125ms)
  ✔ example 'mixed-use-leasing-pipeline-review' has the expected shape and validates without warnings (0.125833ms)
  ✔ example 'port-dwell-time-improvement-plan' has the expected shape and validates without warnings (0.128458ms)
  ✔ example 'retail-launch-readiness-deck' has the expected shape and validates without warnings (0.078083ms)
  ✔ example 'robotics-quality-escape-briefing' has the expected shape and validates without warnings (0.064208ms)
  ✔ example 'rural-broadband-expansion-proposal' has the expected shape and validates without warnings (0.037875ms)
  ✔ example 'satellite-maintenance-readiness-review' has the expected shape and validates without warnings (0.060708ms)
  ✔ example 'streaming-churn-winback-strategy' has the expected shape and validates without warnings (0.062834ms)
  ✔ example 'tailings-monitoring-investment-brief' has the expected shape and validates without warnings (0.114958ms)
  ✔ example 'trial-enrollment-rescue-plan' has the expected shape and validates without warnings (0.08ms)
  ✔ example 'veterinary-staffing-stabilization' has the expected shape and validates without warnings (0.070334ms)
  ✔ example 'water-stewardship-grower-brief' has the expected shape and validates without warnings (0.120625ms)
  ✔ example 'arabic-digital-services-brief' has the expected shape and validates without warnings (0.066541ms)
  ✔ example 'brazil-climate-adaptation-brief' has the expected shape and validates without warnings (0.06325ms)
  ✔ example 'german-works-council-update' has the expected shape and validates without warnings (0.064917ms)
  ✔ example 'india-rural-payments-pilot' has the expected shape and validates without warnings (0.040833ms)
  ✔ example 'japan-market-entry-readout' has the expected shape and validates without warnings (0.039833ms)
  ✔ example 'customer-qbr-renewal-deck' has the expected shape and validates without warnings (0.062584ms)
  ✔ example 'data-incident-postmortem' has the expected shape and validates without warnings (0.0575ms)
  ✔ example 'developer-conference-talk' has the expected shape and validates without warnings (0.056834ms)
  ✔ example 'executive-workshop-facilitation' has the expected shape and validates without warnings (0.07325ms)
  ✔ example 'manager-training-deck' has the expected shape and validates without warnings (0.1185ms)
  ✔ example 'monthly-board-update' has the expected shape and validates without warnings (12.513416ms)
  ✔ example 'policy-briefing-for-advisors' has the expected shape and validates without warnings (0.252541ms)
  ✔ example 'product-launch-narrative' has the expected shape and validates without warnings (0.132666ms)
  ✔ example 'research-findings-report' has the expected shape and validates without warnings (0.107166ms)
  ✔ example 'seed-pitch-for-climate-risk-api' has the expected shape and validates without warnings (0.040958ms)
  ✔ example 'asset-source-forms' has the expected shape and validates without warnings (0.152125ms)
  ✔ example 'block-composition' has the expected shape and validates without warnings (0.073625ms)
  ✔ example 'catalog-overrides' has the expected shape and validates without warnings (0.110667ms)
  ✔ example 'chart-data-sources' has the expected shape and validates without warnings (0.040916ms)
  ✔ example 'chart-type-sampler' has the expected shape and validates without warnings (0.069708ms)
  ✔ example 'columns' has the expected shape and validates without warnings (0.077458ms)
  ✔ example 'content-payload-matrix' has the expected shape and validates without warnings (0.202083ms)
  ✔ example 'design-backgrounds' has the expected shape and validates without warnings (0.082958ms)
  ✔ example 'dynamic-composition' has the expected shape and validates without warnings (0.17625ms)
  ✔ example 'full-feature-tour' has the expected shape and validates without warnings (0.28625ms)
  ✔ example 'grid-spans' has the expected shape and validates without warnings (0.083875ms)
  ✔ example 'header-footer-logo-set' has the expected shape and validates without warnings (0.065333ms)
  ✔ example 'language-and-writing' has the expected shape and validates without warnings (0.031292ms)
  ✔ example 'media-and-follow-up' has the expected shape and validates without warnings (0.055458ms)
  ✔ example 'metadata-array-forms' has the expected shape and validates without warnings (0.032333ms)
  ✔ example 'metrics-quotes-timeline' has the expected shape and validates without warnings (0.043541ms)
  ✔ example 'minimal' has the expected shape and validates without warnings (0.037167ms)
  ✔ example 'narrative-beats' has the expected shape and validates without warnings (0.044792ms)
  ✔ example 'promoted-region-grid' has the expected shape and validates without warnings (0.097833ms)
  ✔ example 'rich-text-runs' has the expected shape and validates without warnings (0.079917ms)
  ✔ example 'root-content' has the expected shape and validates without warnings (0.034791ms)
  ✔ example 'rows-chart' has the expected shape and validates without warnings (0.0595ms)
  ✔ example 'slide-design-overrides' has the expected shape and validates without warnings (0.069375ms)
  ✔ example 'slide-sections' has the expected shape and validates without warnings (0.058ms)
  ✔ example 'table-and-code' has the expected shape and validates without warnings (0.06725ms)
  ✔ example 'table-cell-types' has the expected shape and validates without warnings (0.050458ms)
✔ every bundled example validates cleanly (211.722917ms)
▶ galleries
  ✔ gallery 'business-functions' is well-formed (0.052833ms)
  ✔ gallery 'design-and-media' is well-formed (0.01275ms)
  ✔ gallery 'education' is well-formed (0.012375ms)
  ✔ gallery 'government' is well-formed (0.012209ms)
  ✔ gallery 'industries' is well-formed (0.01875ms)
  ✔ gallery 'international' is well-formed (0.011375ms)
  ✔ gallery 'presentation-types' is well-formed (0.011542ms)
  ✔ getExamplesByGallery matches gallery.examples length for the first gallery (0.049875ms)
  ✔ getGallery resolves a known slug and returns undefined for a bogus one (0.029417ms)
✔ galleries (0.290791ms)
✔ getExample resolves a known slug (0.026334ms)
✔ getExamplesByCategory returns results for a known category (0.027834ms)
▶ bundled docs
  ✔ has at least one doc (0.0795ms)
  ✔ doc 'agent-skills' has required fields (0.024209ms)
  ✔ doc 'catalog-schema-reference' has required fields (0.01225ms)
  ✔ doc 'content-item-design-overrides' has required fields (0.011584ms)
  ✔ doc 'content-payloads' has required fields (0.016042ms)
  ✔ doc 'data-import' has required fields (0.011542ms)
  ✔ doc 'design-resolution' has required fields (0.011125ms)
  ✔ doc 'dynamic-composition' has required fields (0.01075ms)
  ✔ doc 'ecosystem-development' has required fields (0.011167ms)
  ✔ doc 'evidence-2026-09-08-windows' has required fields (0.01575ms)
  ✔ doc 'examples' has required fields (0.013958ms)
  ✔ doc 'font-fidelity' has required fields (0.012375ms)
  ✔ doc 'handoff-2026-09-08' has required fields (0.011958ms)
  ✔ doc 'handoff-2026-09-10-wrap-up' has required fields (0.010792ms)
  ✔ doc 'handoff-mac-owner-2026-09-10' has required fields (0.010875ms)
  ✔ doc 'handoff-windows-native-2026-09-10' has required fields (0.01125ms)
  ✔ doc 'handoff' has required fields (0.011583ms)
  ✔ doc 'how-opf-works' has required fields (0.011125ms)
  ✔ doc 'live-editor' has required fields (0.010625ms)
  ✔ doc 'llm-authoring' has required fields (0.010625ms)
  ✔ doc 'native-content-release-2026-09-09' has required fields (0.010875ms)
  ✔ doc 'native-feature-matrix-2026-09-09' has required fields (0.010708ms)
  ✔ doc 'open-ecosystem' has required fields (0.011417ms)
  ✔ doc 'pr-backlog-2026-09-09' has required fields (0.010917ms)
  ✔ doc 'release-process' has required fields (0.011084ms)
  ✔ doc 'rich-text' has required fields (0.011ms)
  ✔ doc 'schema-reference' has required fields (0.011875ms)
  ✔ doc 'security-2026-09-09' has required fields (0.025292ms)
  ✔ doc 'table-text-colors' has required fields (0.012ms)
  ✔ doc slugs include 'schema-reference' and getDoc resolves known/unknown slugs (0.042333ms)
✔ bundled docs (0.653167ms)
▶ fenced JSON presentation examples embedded in docs
  ✔ doc 'design-resolution' fenced JSON example #0 validates cleanly (0.100375ms)
  ✔ doc 'design-resolution' fenced JSON example #1 validates cleanly (0.043ms)
  ✔ doc 'dynamic-composition' fenced JSON example #0 validates cleanly (0.040375ms)
  ✔ doc 'how-opf-works' fenced JSON example #0 validates cleanly (0.023792ms)
  ✔ doc 'how-opf-works' fenced JSON example #1 validates cleanly (0.040209ms)
  ✔ doc 'how-opf-works' fenced JSON example #2 validates cleanly (0.025917ms)
  ✔ doc 'how-opf-works' fenced JSON example #3 validates cleanly (0.094084ms)
  ✔ doc 'llm-authoring' fenced JSON example #0 validates cleanly (0.037292ms)
  ✔ at least 5 presentation examples are validated across docs (0.019792ms)
✔ fenced JSON presentation examples embedded in docs (0.500541ms)
▶ schema $ids
  ✔ presentation schema has the canonical $id (0.290334ms)
  ✔ audience schema has the canonical $id (0.059792ms)
  ✔ socialPlatform schema has the canonical $id (0.043417ms)
✔ schema $ids (0.829417ms)
▶ catalog export shapes
  ✔ audiences catalog is non-empty (0.117208ms)
  ✔ tones catalog is non-empty (0.034417ms)
  ✔ socialPlatforms catalog is non-empty (0.034291ms)
  ✔ catalogs.audiences matches the audiences export length (0.041916ms)
  ✔ catalogs.socialPlatforms matches the socialPlatforms export length (0.041416ms)
  ✔ catalogs.chartTypes is non-empty (0.044417ms)
  ✔ chartTypes catalog keeps 'united-kingdom' and drops the removed typo id (0.078125ms)
  ✔ chartTypes catalogEntries entry has the expected schemaName and files (0.053834ms)
  ✔ socialPlatforms catalogEntries entry has the expected schemaName (0.038916ms)
  ✔ purposes catalog is non-empty (0.02675ms)
  ✔ languages catalog includes English (US) and English (GB) with correct bcp47 tags (0.038084ms)
✔ catalog export shapes (0.7445ms)
▶ catalog entries validate
  ✔ catalog 'audiences' has records and its first record validates (48.2715ms)
  ✔ catalog 'purposes' has records and its first record validates (2.773375ms)
  ✔ catalog 'tones' has records and its first record validates (2.538875ms)
  ✔ catalog 'themes' has records and its first record validates (4.369333ms)
  ✔ catalog 'layouts' has records and its first record validates (7.604708ms)
  ✔ catalog 'chartTypes' has records and its first record validates (6.413917ms)
  ✔ catalog 'narratives' has records and its first record validates (1.807125ms)
  ✔ catalog 'socialPlatforms' has records and its first record validates (4.170083ms)
  ✔ catalog 'languages' has records and its first record validates (0.97975ms)
  ✔ catalog 'colorSchemes' has records and its first record validates (0.947791ms)
  ✔ catalog 'fontSchemes' has records and its first record validates (0.976125ms)
✔ catalog entries validate (81.322166ms)
▶ catalog cross-links resolve
  ✔ audiences/executives has no broken cross-links (0.12825ms)
  ✔ audiences/board has no broken cross-links (0.031375ms)
  ✔ audiences/engineering-team has no broken cross-links (0.023125ms)
  ✔ audiences/investors has no broken cross-links (0.021458ms)
  ✔ audiences/customers has no broken cross-links (0.020875ms)
  ✔ audiences/sales-team has no broken cross-links (0.025041ms)
  ✔ audiences/marketing-team has no broken cross-links (0.019625ms)
  ✔ audiences/all-hands has no broken cross-links (0.020375ms)
  ✔ audiences/candidates has no broken cross-links (0.01825ms)
  ✔ audiences/regulators has no broken cross-links (0.024708ms)
  ✔ purposes/inform has no broken cross-links (0.02175ms)
  ✔ purposes/decide has no broken cross-links (0.020792ms)
  ✔ purposes/align has no broken cross-links (0.01925ms)
  ✔ purposes/persuade has no broken cross-links (0.01875ms)
  ✔ purposes/educate has no broken cross-links (0.039584ms)
  ✔ purposes/report has no broken cross-links (1.600209ms)
  ✔ purposes/pitch has no broken cross-links (0.033959ms)
  ✔ purposes/sell has no broken cross-links (0.02325ms)
  ✔ purposes/plan has no broken cross-links (0.020458ms)
  ✔ tones/formal has no broken cross-links (0.044208ms)
  ✔ tones/casual has no broken cross-links (0.026209ms)
  ✔ tones/inspirational has no broken cross-links (0.017666ms)
  ✔ tones/technical has no broken cross-links (0.020958ms)
  ✔ tones/persuasive has no broken cross-links (0.022042ms)
  ✔ tones/authoritative has no broken cross-links (0.016791ms)
  ✔ tones/conversational has no broken cross-links (0.015916ms)
  ✔ invalid en-UK language catalog record is rejected with a helpful message (0.088625ms)
  ✔ broken cross-links in a catalog record warn, never error (0.051583ms)
✔ catalog cross-links resolve (2.68175ms)
▶ repo readme export
  ✔ repoReadme ships as a non-trivial string mentioning the format name (0.099459ms)
✔ repo readme export (0.12625ms)
✔ furniture preserves inherited/local sources, whitespace and generated metadata at both floors (7.181667ms)
✔ whole local overrides and explicit false preserve furniture-free body geometry (0.559459ms)
✔ images and every authored/generated field coexist without deleting text (0.28175ms)
✔ missing generated values diagnose controlling paths and strict composition/pagination reject them (124.123125ms)
✔ irreducible furniture and provided ink cannot be hidden by body pagination (4.449125ms)
✔ pagination repeats furniture and retains exact body source and mappings (80.789791ms)
✔ a continuation whose wider number cannot fit fails atomically (19.998ms)
✔ public generated payload declarations agree with closed schema fields (760.599958ms)
✔ composition accepts complete metric geometry against its rounded cell and aliases the value fit (8.335667ms)
✔ metric scoring includes long metadata and charges each failing leaf once (9.774208ms)
✔ slide alignment overrides host alignment for complete metric parts (0.275542ms)
✔ strict ancestors reject complete metric field paths without changing source (924.859042ms)
✔ explicit metric placement and weights remain authoritative despite overflowing metadata (33.977792ms)
✔ atomic metric pagination preserves scalar/metadata types and persists its readable floor (60.701625ms)
✔ irreducible atomic metrics reject all pagination output including empty values after earlier content (83.317541ms)
✔ metric value, unit, labels, zero delta and trend retain their own editable source paths (2.320292ms)
✔ short units stay next to the value on the same baseline; long units and values stack (66.844625ms)
✔ inline fitting tries a smaller single-line value before rejecting a compact readable metric (1.873334ms)
✔ metric alignment positions the inline pair together and records exact origins for every source line (2.385625ms)
✔ metadata borrows spare primary space before reducing type and exposes resolved style paths (0.453917ms)
✔ explicit readability floors raise nominal labels and remain invariant across canvas scales (0.363292ms)
✔ irreducible metadata retains all source and strict rejection reports its actual path (1.996667ms)
✔ empty optional fields retain source without blank spacing and an empty value stays targetable (0.179083ms)
✔ metric whitespace, tabs and Unicode retain exact line and segment boundaries (0.713875ms)
✔ invalid input, failed measurement and non-finite geometry reject without plausible substitute fits (0.486583ms)
✔ difficult metrics use a bounded deterministic candidate search independent of canvas scale (274.296917ms)
✔ metric outlines preserve exact tabs and whitespace while containing overhangs, tall ink and inline baselines (8.991417ms)
✔ metric outline-aware fitting retains the readability floor and rejects irreducible ink (10.560583ms)
✔ zero outline clearance is explicit and width-only providers retain prior geometry (0.301292ms)
✔ invalid metric outline providers and padding reject instead of silently accepting width-only fits (0.225458ms)
✔ plain source ranges retain whitespace, hard breaks and explicit tabs at every width (4.086583ms)
✔ nonbreaking prose tokens stay intact and overflow at the readability floor (0.195625ms)
✔ accepted scalar placement unions text outlines at tab stops without shaping controls (1.436083ms)
▶ layoutPreviews export
  ✔ is a non-empty record of HTML strings (0.651791ms)
✔ layoutPreviews export (1.467167ms)
▶ layoutPreviewIndex export
  ✔ records match Object.keys(layoutPreviews) exactly (3.113333ms)
  ✔ preview record 'action-plan' bytes match its source file's UTF-8 byte length (0.358125ms)
  ✔ preview record 'agenda' bytes match its source file's UTF-8 byte length (0.107083ms)
  ✔ preview record 'appendix-index' bytes match its source file's UTF-8 byte length (0.070042ms)
  ✔ preview record 'architecture-stack' bytes match its source file's UTF-8 byte length (0.06175ms)
  ✔ preview record 'assumptions-dependencies' bytes match its source file's UTF-8 byte length (0.057792ms)
  ✔ preview record 'before-after' bytes match its source file's UTF-8 byte length (0.0715ms)
  ✔ preview record 'benchmark-target-table' bytes match its source file's UTF-8 byte length (0.069375ms)
  ✔ preview record 'bullet-list' bytes match its source file's UTF-8 byte length (0.089833ms)
  ✔ preview record 'business-model-canvas' bytes match its source file's UTF-8 byte length (0.068875ms)
  ✔ preview record 'capability-map' bytes match its source file's UTF-8 byte length (0.052417ms)
  ✔ preview record 'case-study' bytes match its source file's UTF-8 byte length (0.049042ms)
  ✔ preview record 'chapter-recap' bytes match its source file's UTF-8 byte length (0.043875ms)
  ✔ preview record 'circular-lifecycle' bytes match its source file's UTF-8 byte length (0.041292ms)
  ✔ preview record 'comparison' bytes match its source file's UTF-8 byte length (0.039875ms)
  ✔ preview record 'competitive-landscape' bytes match its source file's UTF-8 byte length (0.039875ms)
  ✔ preview record 'customer-journey' bytes match its source file's UTF-8 byte length (0.0415ms)
  ✔ preview record 'customer-logos' bytes match its source file's UTF-8 byte length (0.047834ms)
  ✔ preview record 'dashboard' bytes match its source file's UTF-8 byte length (0.038917ms)
  ✔ preview record 'data-visualization' bytes match its source file's UTF-8 byte length (0.048584ms)
  ✔ preview record 'decision-tree' bytes match its source file's UTF-8 byte length (0.040084ms)
  ✔ preview record 'detailed-data-table' bytes match its source file's UTF-8 byte length (0.053958ms)
  ✔ preview record 'ecosystem-map' bytes match its source file's UTF-8 byte length (0.056417ms)
  ✔ preview record 'executive-decision' bytes match its source file's UTF-8 byte length (0.042959ms)
  ✔ preview record 'executive-summary' bytes match its source file's UTF-8 byte length (0.042041ms)
  ✔ preview record 'faq' bytes match its source file's UTF-8 byte length (0.038042ms)
  ✔ preview record 'feature-comparison-matrix' bytes match its source file's UTF-8 byte length (0.040209ms)
  ✔ preview record 'forecast-scenario' bytes match its source file's UTF-8 byte length (0.041417ms)
  ✔ preview record 'funnel-pyramid' bytes match its source file's UTF-8 byte length (0.079583ms)
  ✔ preview record 'gantt-project-plan' bytes match its source file's UTF-8 byte length (0.037916ms)
  ✔ preview record 'geographic-map' bytes match its source file's UTF-8 byte length (0.03725ms)
  ✔ preview record 'heatmap-cohort' bytes match its source file's UTF-8 byte length (0.037042ms)
  ✔ preview record 'hub-and-spoke' bytes match its source file's UTF-8 byte length (0.037625ms)
  ✔ preview record 'icon-grid' bytes match its source file's UTF-8 byte length (0.038791ms)
  ✔ preview record 'image-focus' bytes match its source file's UTF-8 byte length (0.035125ms)
  ✔ preview record 'key-takeaway' bytes match its source file's UTF-8 byte length (0.03675ms)
  ✔ preview record 'kpi-scorecard' bytes match its source file's UTF-8 byte length (0.041917ms)
  ✔ preview record 'logic-tree' bytes match its source file's UTF-8 byte length (0.036166ms)
  ✔ preview record 'market-size' bytes match its source file's UTF-8 byte length (0.037792ms)
  ✔ preview record 'matrix-quadrant' bytes match its source file's UTF-8 byte length (0.036375ms)
  ✔ preview record 'network-dependency-map' bytes match its source file's UTF-8 byte length (0.049334ms)
  ✔ preview record 'one-column-explainer' bytes match its source file's UTF-8 byte length (0.041667ms)
  ✔ preview record 'org-chart' bytes match its source file's UTF-8 byte length (0.042333ms)
  ✔ preview record 'persona-grid' bytes match its source file's UTF-8 byte length (0.040875ms)
  ✔ preview record 'photo-grid' bytes match its source file's UTF-8 byte length (0.034708ms)
  ✔ preview record 'pricing-table' bytes match its source file's UTF-8 byte length (0.037666ms)
  ✔ preview record 'process-flow' bytes match its source file's UTF-8 byte length (0.07125ms)
  ✔ preview record 'product-feature' bytes match its source file's UTF-8 byte length (0.037584ms)
  ✔ preview record 'pros-cons' bytes match its source file's UTF-8 byte length (0.03725ms)
  ✔ preview record 'qa-discussion' bytes match its source file's UTF-8 byte length (0.036625ms)
  ✔ preview record 'quote-highlight' bytes match its source file's UTF-8 byte length (0.048417ms)
  ✔ preview record 'raci-matrix' bytes match its source file's UTF-8 byte length (0.038916ms)
